"scenario","method","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","code_mean","code_se","rmse_gap_mean","rmse_gap_se","n","mode"
"misspecified_grouping","Fixed hard dictionary",0.0252613334886564,0.00675157757839403,0.00680111604267538,0.00255717321529749,0.00559561211675927,0.00199455807571713,0.800564877926164,0.0810620355652949,18.7764429988708,1.37768269181945,-4.72776899180351e-05,0.000388486430602999,10,"full"
"multi_representative","ASK-PC pooled-pruned 99%",0.0144587620339056,0.00172237445153155,0.00186632808398318,0.000389758324087838,0.00170995303590905,0.000337933898600718,0.001,0,4.64961897945967,0.112478109030834,0.000425919194561075,0.000153221617818092,10,"full"
"multi_representative","ASK-PC pooled union",0.0144587620339056,0.00172237445153155,0.00186632808398318,0.000389758324087838,0.00170995303590905,0.000337933898600718,0.001,0,4.64961897945967,0.112478109030834,0.000425919194561075,0.000153221617818092,10,"full"
"multi_representative","Posterior clustering",0.0212846255166408,0.00145832935880115,0.00242165860781847,0.000357278003206451,0.00223987973613728,0.00030704300328247,0.0498354397153807,0.0294244366960849,5.53021729159884,0.127545943585669,0.00128159531270617,0.000387757540412822,10,"full"
"multi_representative","Top-M support atoms",0.0140393012579465,0.00471506221115538,0.0228469646991244,0.00514540085008081,0.0100153691120348,0.00320124812514388,0.0521702037677696,0.0185793506242045,11.1479391242431,0.871637258478548,0.000554446840148915,9.16785748316384e-05,10,"full"
"multi_representative","Credible support set",0.039609259407638,0.000350235683552849,0.0481497593462514,0.000340075294275238,0.0267607679071995,0.000206061314481996,0.157252678468181,0.00133239537481555,16.4442226713732,0.243057352213293,0.000980467432152387,0.000139818121729142,10,"full"
"multi_representative","Dilution-prior BMA",0.0378849507329165,0.00595229027275778,0.00692222804302845,0.00169472750090604,0.00629266970854401,0.00150751042569753,NA,NA,11.7,2.74893918933589,0.00200750013931035,0.000562477169279852,10,"full"
"multi_representative","DPP-prior BMA",0.0693078902352651,0.0104473975997162,0.0253567275871818,0.00607329034026754,0.0210421470572509,0.00477865225762066,NA,NA,9.8,2.13853532431273,0.00392368828159704,0.0011451498814878,10,"full"
"multi_representative","Fixed hard dictionary",0.0157966165596495,0.00288062407730346,0.0100116187224599,0.00141863676918542,0.00571943408527439,0.00112246942537006,0.0887163296530597,0.0357289316501303,6.52883290432255,0.606621785414968,0.000527591975713082,0.000344726695478248,10,"full"
"noisy_grouping","ASK-PC pooled-pruned 99%",0.0127455476532232,0.000468018145318702,0.0016602267039926,9.28010017266434e-05,0.00155882913716554,8.78399635530294e-05,0.001,0,3.81571718331184,0.286439177482906,6.92034694923296e-05,0.000144262284385719,10,"full"
"noisy_grouping","ASK-PC pooled union",0.0127455476532232,0.000468018145318702,0.0016602267039926,9.28010017266434e-05,0.00155882913716554,8.78399635530294e-05,0.001,0,3.81571718331184,0.286439177482906,6.92034694923296e-05,0.000144262284385719,10,"full"
"noisy_grouping","Posterior clustering",0.0156787491994165,0.00202988981078089,0.00214332645943151,0.000429114931046409,0.00193412727877757,0.000371471022513576,0.035342298046474,0.0125643025745754,5.34964436452103,0.155803568166867,-6.97126316244964e-05,0.000173098886110905,10,"full"
"noisy_grouping","Top-M support atoms",0.00894336714735823,0.00315776572307156,0.0173556611018296,0.00446666586830755,0.0068795186977207,0.00238232609390436,0.0340629811879486,0.0127134630482197,9.75907777125572,0.699554922605895,-5.43354464118911e-05,0.000123523113728755,10,"full"
"noisy_grouping","Credible support set",0.0392029831441873,0.000557833485211631,0.048077084466386,0.000303752199124091,0.0265895042720335,0.000270565194653543,0.154921568713008,0.00242995948836815,15.9233011774541,0.295476730741088,-8.74589808781853e-05,0.00017446036679633,10,"full"
"noisy_grouping","Dilution-prior BMA",0.0230673372272692,0.00451290564868522,0.00473495856027372,0.00129283239311468,0.00417872894142551,0.00112456718967231,NA,NA,8.5,1.86934331904133,-9.88582247033688e-05,7.64687422096055e-05,10,"full"
"noisy_grouping","DPP-prior BMA",0.0398916575727986,0.00748598679230558,0.0169062005684971,0.00455704721683121,0.013194292200006,0.00344146547412611,NA,NA,6.7,1.51327459504216,-0.000160101432696247,0.000129244392396829,10,"full"
"noisy_grouping","Fixed hard dictionary",0.0253927886524402,0.0067819721543036,0.00913217613431606,0.0029250746152041,0.00730936144664809,0.00230900322381494,0.729042458551379,0.0882906880592323,17.5218994468348,1.51918875976344,-4.81000370265325e-05,0.000193815476819456,10,"full"
"one_representative","ASK-PC pooled-pruned 99%",0.0167779710561849,0.0013776384834598,0.00263110052239631,0.000359709472466727,0.00235764633339427,0.000307718189735978,0.001,0,4.04740706819585,0.170340452519625,2.0212433593647e-05,5.86680731551931e-05,10,"full"
"one_representative","ASK-PC pooled union",0.0167779710561849,0.0013776384834598,0.00263110052239631,0.000359709472466727,0.00235764633339427,0.000307718189735978,0.001,0,4.04740706819585,0.170340452519625,2.0212433593647e-05,5.86680731551931e-05,10,"full"
